,number,lang,word,mean_freq,matched_word,mean_dash_freq,has_dash,mean_total_freq,corrected_total_freq,about_word,exactly_word,mean_freq_about,mean_freq_exactly,log_freq_about,log_freq_exactly,log_freq,log_freq_uncorrected,arabic_number,mult10,mult7,mult5,mult3,mult2,exp2,exp3,exp5,exp7,exp10,log10
0,1,en,one,1572.1454983577132,one,0.0,False,1572.1454983577132,1565.2685127018156,about one,exactly one,11.17202623836598,0.6225429831597555,1.0481319470042787,-0.20583065755810073,3.1945888489635896,3.1964927364933304,,0,0,0,0,0,0,0,0,0,0,0.0
1,2,en,two,906.1849776509346,two,0.0,False,906.1849776509346,899.0709907522489,about two,exactly two,6.7567124567765,0.17501935022825338,0.8297354371886361,-0.7569139328406863,2.9537939850310377,2.957216858353671,,0,0,0,0,1,1,0,0,0,0,0.3010299956639812
2,3,en,three,441.6779066006854,three,0.0,False,441.6779066006854,436.48404406735386,about three,exactly three,5.037522263520776,0.0901499960520471,0.702216978534348,-1.045034287960705,2.639968372439853,2.6451056757325047,,0,0,0,1,0,0,1,0,0,0,0.47712125471966244
3,4,en,four,235.43287163335538,four,0.0,False,235.43287163335538,227.02641714289484,about four,exactly four,2.7240832833722735,0.051014775079675376,0.4352203811247791,-1.2923040237792374,2.356076395307059,2.3718670998511313,,0,0,0,0,1,2,0,0,0,0,0.6020599913279624
4,5,en,five,191.52771182787401,five,0.0,False,191.52771182787401,173.59000458207123,about five,exactly five,2.8335454736210806,0.04351549820262781,0.4523301867266724,-1.3613560399386546,2.2395247146202784,2.2822316202013426,,0,0,1,0,0,0,0,1,0,0,0.6989700043360189
5,6,en,six,130.72285133496146,six,0.0,False,130.72285133496146,125.03012426801727,about six,exactly six,2.380521940650914,0.03202778215187905,0.3766721886081389,-1.4944731341600774,2.0970146628255364,2.116351512149896,,0,0,0,1,1,1,1,0,0,0,0.7781512503836436
6,7,en,seven,69.34303910740852,seven,0.0,False,69.34303910740852,65.02458708389307,about seven,exactly seven,1.053990283529785,0.019883577486026816,0.022836607243844138,-1.701505473929571,1.813077603040058,1.841002871624589,,0,1,0,0,0,0,0,0,1,0,0.8450980400142568
7,8,en,eight,68.78147142546652,eight,0.0,False,68.78147142546652,63.30004907015023,about eight,exactly eight,1.3047172717729243,0.018106456377804045,0.11551641158866541,-1.7421665373255113,1.8014040466822399,1.8374714623427155,,0,0,0,0,1,3,0,0,0,0,0.9030899869919435
8,9,en,nine,45.470224351590204,nine,0.0,False,45.470224351590204,41.69577624247833,about nine,exactly nine,0.6949119279834478,0.014110624825454634,-0.1580702337041547,-1.850453755045151,1.6200920634272122,1.6577270970337261,,0,0,0,1,0,0,2,0,0,0,0.9542425094393249
9,10,en,ten,83.0453621650425,ten,0.0,False,83.0453621650425,83.0453621650425,about ten,exactly ten,2.5607007768592345,0.03718932219257175,0.40835883323175864,-1.429581736959888,1.9193153834174903,1.9193153834174903,,1,0,1,0,1,1,0,1,0,1,1.0
10,11,en,eleven,12.670860087382607,eleven,0.0,False,12.670860087382607,12.670860087382607,about eleven,exactly eleven,0.25538420075855695,0.006981230173473549,-0.5928059736959994,-2.156068042924489,1.1028060954301218,1.1028060954301218,,0,0,0,0,0,0,0,0,0,0,1.0413926851582251
11,12,en,twelve,27.74048134953916,twelve,0.0,False,27.74048134953916,27.74048134953916,about twelve,exactly twelve,0.6034334122057985,0.014356109468960812,-0.2193706465394391,-1.8429632387210517,1.4431139926289398,1.4431139926289398,,0,0,0,1,1,2,1,0,0,0,1.0791812460476249
12,13,en,thirteen,7.977725473727903,thirteen,0.0,False,7.977725473727903,7.977725473727903,about thirteen,exactly thirteen,0.12384375243830922,0.003162553996460815,-0.907125897435069,-2.499962050744258,0.9018790874643633,0.9018790874643633,,0,0,0,0,0,0,0,0,0,0,1.1139433523068367
13,14,en,fourteen,9.763061353071095,fourteen,0.0,False,9.763061353071095,9.763061353071095,about fourteen,exactly fourteen,0.197766256599821,0.003230913795763494,-0.703847806887617,-2.490674629269162,0.9895860185147849,0.9895860185147849,,0,1,0,0,1,1,0,0,1,0,1.146128035678238
14,15,en,fifteen,20.335531920792683,fifteen,0.0,False,20.335531920792683,20.335531920792683,about fifteen,exactly fifteen,0.7838470356974165,0.00752744802437967,-0.10576867970590757,-2.1233522345269975,1.3082555368214401,1.3082555368214401,,0,0,1,1,0,0,1,1,0,0,1.1760912590556813
15,16,en,sixteen,9.287351674049882,sixteen,0.0,False,9.287351674049882,9.287351674049882,about sixteen,exactly sixteen,0.18621868658850443,0.0026357231343010924,-0.7299767407817703,-2.57910021151366,0.9678918908164323,0.9678918908164323,,0,0,0,0,1,4,0,0,0,0,1.2041199826559248
16,17,en,seventeen,5.727048565127987,seventeen,0.0,False,5.727048565127987,5.727048565127987,about seventeen,exactly seventeen,0.10391088634422903,0.002422632482423479,-0.9833389506953996,-2.6157124640967058,0.7579308659276596,0.7579308659276596,,0,0,0,0,0,0,0,0,0,0,1.2304489213782739
17,18,en,eighteen,10.136874883684476,eighteen,0.0,False,10.136874883684476,10.136874883684476,about eighteen,exactly eighteen,0.26101336412493226,0.0026704163194449728,-0.5833372558144899,-2.5734210265968076,1.0059040861649977,1.0059040861649977,,0,0,0,1,1,1,2,0,0,0,1.255272505103306
18,19,en,nineteen,6.757187801507397,nineteen,0.0,False,6.757187801507397,6.757187801507397,about nineteen,exactly nineteen,0.055417369064040635,0.001315589253005421,-1.2563540961664075,-2.8808796829086796,0.8297659893741295,0.8297659893741295,,0,0,0,0,0,0,0,0,0,0,1.2787536009528289
19,20,en,twenty,66.054750170545,twenty,0.0,False,66.054750170545,39.594113485798204,about twenty,exactly twenty,1.9946806457714867,0.02893172596485578,0.29987337376649437,-1.5386256571002432,1.5976306235350095,1.8199040543302147,,1,0,1,0,1,2,0,1,0,1,1.3010299956639813
20,21,en,twenty-one,3.4768899392171684,twenty - one,1.1515134000141117e-07,True,3.4768899392171684,3.4768899392171684,about twenty-one,exactly twenty-one,0.029819065978958236,0.0016363552822119957,-1.5255059640532884,-2.7861223972706646,0.5411909433300275,0.5411909433300275,,0,1,0,1,0,0,1,0,1,0,1.3222192947339193
21,22,en,twenty-two,2.4277892987133693,twenty - two,7.735185480375067e-08,True,2.4277892987133693,2.4277892987133693,about twenty-two,exactly twenty-two,0.04554169942250654,0.0014306388949320342,-1.3415907673957463,-2.8444699719207414,0.3852109927916896,0.3852109927916896,,0,0,0,0,1,1,0,0,0,0,1.3424226808222062
22,23,en,twenty-three,1.8248255062145273,twenty - three,6.823633590195587e-08,True,1.8248255062145273,1.8248255062145273,about twenty-three,exactly twenty-three,0.028766471070120064,0.0009209864134945736,-1.5411134119635372,-3.0357467765217803,0.26122134259455015,0.26122134259455015,,0,0,0,0,0,0,0,0,0,0,1.3617278360175928
23,24,en,twenty-four,4.794456590032353,twenty - four,1.645710865186986e-07,True,4.794456590032353,4.794456590032353,about twenty-four,exactly twenty-four,0.06773929042963697,0.0038585960701119438,-1.1691593569105674,-2.4135706823519336,0.680739390792579,0.680739390792579,,0,0,0,1,1,3,1,0,0,0,1.380211241711606
24,25,en,twenty-five,8.072157782532718,twenty - five,2.762674123281542e-07,True,8.072157782532718,8.072157782532718,about twenty-five,exactly twenty-five,0.3316821847068009,0.0037268448370948097,-0.47927785465270045,-2.4286586882218186,0.906989642254324,0.906989642254324,,0,0,1,0,0,0,0,2,0,0,1.3979400086720377
25,26,en,twenty-six,1.7443123316993212,twenty - six,5.6302837529475414e-08,True,1.7443123316993212,1.7443123316993212,about twenty-six,exactly twenty-six,0.027431297912899562,0.0007685054382082909,-1.5617536432494672,-3.114353054936525,0.24162425111765026,0.24162425111765026,,0,0,0,0,1,1,0,0,0,0,1.414973347970818
26,27,en,twenty-seven,1.4450404117216,twenty - seven,5.183064699871929e-08,True,1.4450404117216,1.4450404117216,about twenty-seven,exactly twenty-seven,0.024579871785005362,0.0007804721569462278,-1.6094203868364605,-3.1076425856192453,0.15987999265816158,0.15987999265816158,,0,0,0,1,0,0,3,0,0,0,1.4313637641589874
27,28,en,twenty-eight,1.6539270001314934,twenty - eight,5.679446594936677e-08,True,1.6539270001314934,1.6539270001314934,about twenty-eight,exactly twenty-eight,0.030857960892409903,0.000953484384584346,-1.510632775694558,-3.020686415092421,0.2185163370546694,0.2185163370546694,,0,1,0,0,1,2,0,0,1,0,1.4471580313422192
28,29,en,twenty-nine,1.0212378244842495,twenty - nine,3.08093206197724e-08,True,1.0212378244842495,1.0212378244842495,about twenty-nine,exactly twenty-nine,0.008863849436570669,0.0005317824439241602,-2.052377629581111,-3.274266004410838,0.00912689177711738,0.00912689177711738,,0,0,0,0,0,0,0,0,0,0,1.462397997898956
29,30,en,thirty,39.29199788128208,thirty,0.0,False,39.29199788128208,28.27255915730454,about thirty,exactly thirty,1.253917050645196,0.015139207064444635,0.09826880791527935,-1.8198968709756018,1.4513651214570615,1.5943041119565438,,1,0,1,1,1,1,1,1,0,1,1.4771212547196624
30,31,en,thirty-one,1.0984630608511317,thirty - one,3.8216060904052455e-08,True,1.0984630608511317,1.0984630608511317,about thirty-one,exactly thirty-one,0.006968875986083678,0.0005759088043057111,-2.1568372638541518,-3.239646282067142,0.040785457034175895,0.040785457034175895,,0,0,0,0,0,0,0,0,0,0,1.4913616938342726
31,32,en,thirty-two,1.428164788800738,thirty - two,5.181603615024049e-08,True,1.428164788800738,1.428164788800738,about thirty-two,exactly thirty-two,0.02031262969590925,0.0006590389470534472,-1.6922338487028774,-3.181088919259415,0.1547783214022071,0.1547783214022071,,0,0,0,0,1,5,0,0,0,0,1.505149978319906
